[2025-02-17 21:20:42.175] [Global_logger] [info] Logger initialized.
[2025-02-17 21:20:49.322] [Global_logger] [info] stereo_ORB_EXTRACT 10760 us,  
[2025-02-17 21:20:49.373] [Global_logger] [info] stereo_ORB_EXTRACT 7132 us,  
[2025-02-17 21:20:49.433] [Global_logger] [info] stereo_ORB_EXTRACT 11243 us,  
[2025-02-17 21:20:49.484] [Global_logger] [info] stereo_ORB_EXTRACT 7889 us,  
[2025-02-17 21:20:49.541] [Global_logger] [info] stereo_ORB_EXTRACT 10914 us,  
[2025-02-17 21:20:49.595] [Global_logger] [info] stereo_ORB_EXTRACT 8840 us,  
[2025-02-17 21:20:49.649] [Global_logger] [info] stereo_ORB_EXTRACT 7574 us,  
[2025-02-17 21:20:49.705] [Global_logger] [info] stereo_ORB_EXTRACT 7739 us,  
[2025-02-17 21:20:49.766] [Global_logger] [info] stereo_ORB_EXTRACT 12309 us,  
[2025-02-17 21:20:49.819] [Global_logger] [info] stereo_ORB_EXTRACT 8753 us,  
[2025-02-17 21:20:49.876] [Global_logger] [info] stereo_ORB_EXTRACT 11892 us,  
[2025-02-17 21:20:49.931] [Global_logger] [info] stereo_ORB_EXTRACT 10513 us,  
[2025-02-17 21:20:49.985] [Global_logger] [info] stereo_ORB_EXTRACT 11347 us,  
[2025-02-17 21:20:50.038] [Global_logger] [info] stereo_ORB_EXTRACT 8151 us,  
[2025-02-17 21:20:50.098] [Global_logger] [info] stereo_ORB_EXTRACT 12405 us,  
[2025-02-17 21:20:50.147] [Global_logger] [info] stereo_ORB_EXTRACT 7329 us,  
[2025-02-17 21:20:50.204] [Global_logger] [info] stereo_ORB_EXTRACT 8373 us,  
[2025-02-17 21:20:50.257] [Global_logger] [info] stereo_ORB_EXTRACT 7688 us,  
[2025-02-17 21:20:50.312] [Global_logger] [info] stereo_ORB_EXTRACT 7027 us,  
[2025-02-17 21:20:50.366] [Global_logger] [info] stereo_ORB_EXTRACT 7880 us,  
[2025-02-17 21:20:50.422] [Global_logger] [info] stereo_ORB_EXTRACT 7401 us,  
[2025-02-17 21:20:50.476] [Global_logger] [info] stereo_ORB_EXTRACT 7440 us,  
[2025-02-17 21:20:50.533] [Global_logger] [info] stereo_ORB_EXTRACT 8670 us,  
[2025-02-17 21:20:50.587] [Global_logger] [info] stereo_ORB_EXTRACT 8037 us,  
[2025-02-17 21:20:50.644] [Global_logger] [info] stereo_ORB_EXTRACT 9192 us,  
[2025-02-17 21:20:50.699] [Global_logger] [info] stereo_ORB_EXTRACT 7983 us,  
[2025-02-17 21:20:50.754] [Global_logger] [info] stereo_ORB_EXTRACT 7798 us,  
[2025-02-17 21:20:50.811] [Global_logger] [info] stereo_ORB_EXTRACT 10419 us,  
[2025-02-17 21:20:50.866] [Global_logger] [info] stereo_ORB_EXTRACT 9093 us,  
[2025-02-17 21:20:50.920] [Global_logger] [info] stereo_ORB_EXTRACT 10010 us,  
[2025-02-17 21:20:50.974] [Global_logger] [info] stereo_ORB_EXTRACT 7442 us,  
[2025-02-17 21:20:51.033] [Global_logger] [info] stereo_ORB_EXTRACT 10472 us,  
[2025-02-17 21:20:51.088] [Global_logger] [info] stereo_ORB_EXTRACT 10935 us,  
[2025-02-17 21:20:51.140] [Global_logger] [info] stereo_ORB_EXTRACT 7427 us,  
[2025-02-17 21:20:51.200] [Global_logger] [info] stereo_ORB_EXTRACT 10929 us,  
[2025-02-17 21:20:51.257] [Global_logger] [info] stereo_ORB_EXTRACT 12024 us,  
[2025-02-17 21:20:51.308] [Global_logger] [info] stereo_ORB_EXTRACT 8387 us,  
[2025-02-17 21:20:51.360] [Global_logger] [info] stereo_ORB_EXTRACT 6711 us,  
[2025-02-17 21:20:51.414] [Global_logger] [info] stereo_ORB_EXTRACT 6406 us,  
